Id_entrevistado,tarjeta,alternativa,eleccion,cobertura,espacios,captacion,costo,numtarjeta,disposicion a pagar por entrar BC ,razon si esta dispuesto a pagar,razon NO esta dispuesto a pagar,Act para sustituir cuota ,situacion laboral,ingreso,hrs tiempo libre,Sexo,Actividades que realice en BC,Actividades que realice en BC,factores limitan actividades BC
1,1,1,0,123830,0,32,0,1,0,2,0,1,2,4,20,0,4,6,1
1,1,2,1,136663,12,35,20,1,0,2,0,1,2,4,20,0,4,6,1
1,1,3,0,158050,30,40,50,1,0,2,0,1,2,4,20,0,4,6,1
1,2,1,0,123830,0,32,0,7,0,2,0,1,2,4,20,0,4,6,1
1,2,2,0,158050,12,40,20,7,0,2,0,1,2,4,20,0,4,6,1
1,2,3,1,123830,30,32,50,7,0,2,0,1,2,4,20,0,4,6,1
1,3,1,0,123830,0,32,0,11,0,2,0,1,2,4,20,0,4,6,1
1,3,2,1,123830,12,32,20,11,0,2,0,1,2,4,20,0,4,6,1
1,3,3,0,136663,0,35,0,11,0,2,0,1,2,4,20,0,4,6,1
2,1,1,0,123830,0,32,0,2,1,0,1,1,2,2,48,1,2,4,1
2,1,2,0,136663,12,35,50,2,1,0,1,1,2,2,48,1,2,4,1
2,1,3,1,158050,12,40,20,2,1,0,1,1,2,2,48,1,2,4,1
2,2,1,0,123830,0,32,0,5,1,0,1,1,2,2,48,1,2,4,1
2,2,2,1,136663,30,35,0,5,1,0,1,1,2,2,48,1,2,4,1
2,2,3,0,158050,30,40,50,5,1,0,1,1,2,2,48,1,2,4,1
2,3,1,0,123830,0,32,0,14,1,0,1,1,2,2,48,1,2,4,1
2,3,2,0,136663,0,35,20,14,1,0,1,1,2,2,48,1,2,4,1
2,3,3,1,136663,12,35,50,14,1,0,1,1,2,2,48,1,2,4,1
3,1,1,0,123830,0,32,0,7,0,2,0,1,2,2,8,1,5,6,1
3,1,2,0,158050,12,40,20,7,0,2,0,1,2,2,8,1,5,6,1
3,1,3,1,123830,30,32,50,7,0,2,0,1,2,2,8,1,5,6,1
3,2,1,0,123830,0,32,0,9,0,2,0,1,2,2,8,1,5,6,1
3,2,2,0,158050,0,40,0,9,0,2,0,1,2,2,8,1,5,6,1
3,2,3,1,158050,0,40,20,9,0,2,0,1,2,2,8,1,5,6,1
3,3,1,0,123830,0,32,0,10,0,2,0,1,2,2,8,1,5,6,1
3,3,2,1,136663,0,35,20,10,0,2,0,1,2,2,8,1,5,6,1
3,3,3,0,158050,30,40,50,10,0,2,0,1,2,2,8,1,5,6,1
